:START_ID(Customer),:END_ID(Address),validFrom
310000108,310000108:4605,2024-04-16
310000109,310000109:4607,2024-04-16
320000082,320000082:9526,2024-11-20
320000083,320000083:9548,2024-11-20
320000085,320000085:9552,2024-11-20
320000088,320000088:9558,2024-11-20
320000107,320000107:9596,2024-11-20
320000108,320000108:9598,2024-11-20
